Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782550346,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782550347,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782550348,2,STREAM,TTFT,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1296.6768741607666,1296.6768741607666,1296.6768741607666,1296.6768741607666,0.0
1782550348,2,,Aggregated,0.000000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1,0,1296.6768741607666,1296.6768741607666,1296.6768741607666,1296.6768741607666,0.0
1782550349,3,STREAM,TTFT,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,1296.6768741607666,1288.6663675308228,1280.655860900879,1296.6768741607666,0.0
1782550349,3,,Aggregated,0.000000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,2,0,1296.6768741607666,1288.6663675308228,1280.655860900879,1296.6768741607666,0.0
1782550350,4,STREAM,TTFT,0.000000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,3,0,1300,1294.7971820831299,1280.655860900879,1307.0588111877441,0.0
1782550350,4,,Aggregated,0.000000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,3,0,1300,1294.7971820831299,1280.655860900879,1307.0588111877441,0.0
1782550351,5,STREAM,TTFT,0.333333,0.000000,1300,1300,1400,1400,1400,1400,1400,1400,1400,1400,1400,4,0,1300,1316.658854484558,1280.655860900879,1382.2438716888428,0.0
1782550351,5,,Aggregated,0.333333,0.000000,1300,1300,1400,1400,1400,1400,1400,1400,1400,1400,1400,4,0,1300,1316.658854484558,1280.655860900879,1382.2438716888428,0.0
1782550352,6,STREAM,TTFT,0.500000,0.000000,1400,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,5,0,1300,1368.7398433685303,1280.655860900879,1577.063798904419,0.0
1782550352,6,,Aggregated,0.500000,0.000000,1300,1400,1400,1600,1600,1600,1600,1600,1600,1600,1600,5,0,1300,1368.7398433685303,1280.655860900879,1577.063798904419,0.0
1782550353,7,STREAM,TTFT,0.600000,0.000000,1300,1400,1400,1600,1600,1600,1600,1600,1600,1600,1600,6,0,1300,1359.8991632461548,1280.655860900879,1577.063798904419,0.0
1782550353,7,,Aggregated,0.600000,0.000000,1300,1300,1400,1400,1600,1600,1600,1600,1600,1600,1600,6,0,1300,1359.8991632461548,1280.655860900879,1577.063798904419,0.0
1782550354,8,STREAM,TTFT,0.666667,0.000000,1400,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,7,0,1300,1391.06171471732,1280.655860900879,1578.0370235443115,0.0
1782550354,8,,Aggregated,0.666667,0.000000,1300,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,7,0,1300,1391.06171471732,1280.655860900879,1578.0370235443115,0.0
1782550355,9,STREAM,TTFT,0.714286,0.000000,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,8,0,1300,1415.560245513916,1280.655860900879,1587.049961090088,0.0
1782550355,9,,Aggregated,0.714286,0.000000,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,8,0,1300,1415.560245513916,1280.655860900879,1587.049961090088,0.0
1782550356,10,STREAM,TTFT,0.714286,0.000000,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,8,0,1300,1415.560245513916,1280.655860900879,1587.049961090088,0.0
1782550356,10,,Aggregated,0.714286,0.000000,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,8,0,1300,1415.560245513916,1280.655860900879,1587.049961090088,0.0
1782550357,11,STREAM,TTFT,0.714286,0.000000,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,8,0,1300,1415.560245513916,1280.655860900879,1587.049961090088,0.0
1782550357,11,,Aggregated,0.714286,0.000000,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,8,0,1300,1415.560245513916,1280.655860900879,1587.049961090088,0.0
1782550358,12,STREAM,TTFT,0.714286,0.000000,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,8,0,1300,1415.560245513916,1280.655860900879,1587.049961090088,0.0
1782550358,12,,Aggregated,0.714286,0.000000,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,8,0,1300,1415.560245513916,1280.655860900879,1587.049961090088,0.0
1782550359,13,STREAM,TTFT,0.800000,0.000000,1600,1600,3600,3600,4600,4600,4600,4600,4600,4600,4600,10,0,1400,1946.5049266815186,1280.655860900879,4570.416212081909,0.0
