t,ts_unix,runners,backlog,running,traffic
0.0,1782550343.3,1,0,0,0
3.1,1782550345.5,1,0,0,0
5.4,1782550347.8,1,0,0,0
7.6,1782550350.0,2,0,0,0
9.9,1782550352.2,2,0,0,0
12.1,1782550354.5,2,0,0,0
14.3,1782550356.7,3,2,0,2
16.5,1782550358.9,3,1,0,1
18.8,1782550361.2,3,3,0,3
21.0,1782550363.4,3,4,0,4
23.2,1782550365.6,4,7,0,7
25.5,1782550367.8,4,9,0,9
27.7,1782550370.1,4,11,0,11
29.9,1782550372.3,4,12,0,12
32.2,1782550375.0,5,14,0,14
34.9,1782550377.3,5,18,0,18
37.1,1782550379.5,5,20,0,20
39.3,1782550381.7,6,23,0,23
41.6,1782550384.0,6,25,0,25
43.8,1782550386.2,6,27,0,27
46.0,1782550388.4,6,28,0,28
48.3,1782550390.7,6,28,0,28
50.5,1782550392.9,6,28,0,28
52.7,1782550395.2,6,28,0,28
55.0,1782550397.4,6,27,0,27
57.2,1782550399.6,6,28,0,28
59.5,1782550401.9,6,28,0,28
61.7,1782550404.1,6,28,0,28
63.9,1782550406.3,6,28,0,28
66.2,1782550408.5,6,28,0,28
68.4,1782550410.8,6,28,0,28
70.6,1782550413.0,6,28,0,28
72.8,1782550415.3,6,28,0,28
75.1,1782550417.5,6,28,0,28
77.3,1782550419.7,6,28,0,28
79.6,1782550421.9,6,28,0,28
81.8,1782550424.2,6,28,0,28
84.0,1782550426.4,6,28,0,28
86.3,1782550428.7,6,28,0,28
88.5,1782550430.9,6,28,0,28
90.8,1782550433.2,6,28,0,28
93.0,1782550435.4,6,28,0,28
95.2,1782550437.6,6,27,0,27
97.5,1782550439.9,6,28,0,28
99.7,1782550442.1,6,28,0,28
101.9,1782550444.3,6,28,0,28
104.2,1782550446.6,6,28,0,28
106.4,1782550448.8,6,28,0,28
108.6,1782550451.0,6,28,0,28
110.9,1782550453.3,6,28,0,28
113.1,1782550455.5,6,28,0,28
115.3,1782550457.7,6,28,0,28
117.6,1782550460.0,6,28,0,28
119.8,1782550462.2,6,16,0,16
122.1,1782550464.4,6,16,0,16
124.3,1782550466.7,6,4,0,4
126.5,1782550468.9,6,3,0,3
128.7,1782550471.1,6,4,0,4
131.0,1782550473.4,6,4,0,4
133.2,1782550475.6,6,4,0,4
135.5,1782550477.8,6,3,0,3
137.7,1782550480.1,6,4,0,4
139.9,1782550482.3,6,4,0,4
142.2,1782550484.6,6,0,0,0
