t,runners,backlog,running,traffic
0.0,2,0,0,0
3.2,2,0,0,0
5.5,2,0,0,0
7.8,2,0,0,0
10.0,2,0,0,0
12.3,2,0,0,0
14.5,2,0,0,0
16.8,3,0,0,0
19.0,3,0,0,0
21.2,3,0,0,0
23.5,4,1,0,1
25.7,4,0,0,0
28.0,4,0,0,0
30.2,4,2,0,2
32.5,5,2,0,2
34.7,5,5,0,5
37.0,5,6,0,6
39.2,5,9,0,9
41.4,6,12,0,12
43.7,6,13,0,13
45.9,6,15,0,15
48.2,6,13,0,13
50.4,6,14,0,14
52.7,6,15,0,15
54.9,6,16,0,16
57.2,6,16,0,16
59.4,6,14,0,14
61.7,6,14,0,14
63.9,6,15,0,15
66.1,6,15,0,15
68.4,6,16,0,16
70.6,6,14,0,14
72.9,6,16,0,16
75.1,6,15,0,15
77.4,6,16,0,16
79.6,6,16,0,16
81.9,6,13,0,13
84.1,6,14,0,14
86.4,6,15,0,15
88.6,6,16,0,16
90.8,6,16,0,16
93.1,6,15,0,15
95.3,6,14,0,14
97.6,6,15,0,15
99.8,6,16,0,16
102.1,6,16,0,16
104.3,6,16,0,16
106.6,6,16,0,16
108.8,6,6,0,6
111.1,6,15,0,15
113.3,6,15,0,15
115.5,6,13,0,13
117.8,6,13,0,13
120.0,6,15,0,15
122.3,6,15,0,15
124.6,6,16,0,16
126.8,6,16,0,16
129.0,6,16,0,16
131.3,6,16,0,16
133.5,6,15,0,15
135.8,6,15,0,15
138.0,6,15,0,15
140.2,6,2,0,2
142.5,6,4,0,4
144.7,6,0,0,0
147.0,6,0,0,0
149.2,6,0,0,0
151.5,6,0,0,0
153.7,6,0,0,0
155.9,6,0,0,0
158.2,6,0,0,0
160.4,6,0,0,0
162.7,6,0,0,0
164.9,6,0,0,0
167.2,6,0,0,0
169.4,6,0,0,0
171.7,6,0,0,0
173.9,6,0,0,0
176.1,6,0,0,0
178.4,6,0,0,0
180.6,6,0,0,0
182.9,6,0,0,0
185.1,6,0,0,0
187.3,6,0,0,0
189.6,6,0,0,0
191.8,6,0,0,0
194.1,6,0,0,0
196.4,6,0,0,0
198.6,6,0,0,0
200.9,6,0,0,0
203.1,6,0,0,0
205.3,6,0,0,0
207.6,6,0,0,0
209.8,6,0,0,0
212.1,6,0,0,0
214.3,6,0,0,0
216.6,6,0,0,0
218.8,6,0,0,0
221.1,6,0,0,0
223.3,6,0,0,0
225.6,6,0,0,0
227.8,6,0,0,0
230.1,6,0,0,0
232.3,6,0,0,0
234.5,6,0,0,0
236.8,6,0,0,0
239.0,6,0,0,0
241.3,6,0,0,0
243.5,6,0,0,0
245.8,6,0,0,0
248.1,6,0,0,0
250.3,6,0,0,0
252.5,6,0,0,0
254.8,6,0,0,0
257.0,6,0,0,0
259.3,6,0,0,0
261.5,6,0,0,0
263.8,6,0,0,0
266.0,6,0,0,0
268.3,6,0,0,0
270.5,6,0,0,0
272.8,6,0,0,0
275.0,6,0,0,0
277.3,6,0,0,0
279.5,6,0,0,0
281.8,6,0,0,0
284.0,6,0,0,0
286.3,6,0,0,0
